プラント	指図タイプ	MRP管理者	指図番号	作業/活動番号	確認番号	テキスト（短）	作業区	管理キー	品目コード	品目テキスト	予定数	工程実績	工数実績	計画終了日	WBS要素	受注伝票番号	受注明細番号
P100	ZP10	B10	10132876	0040	0015281657	総合組立	C0921	MSN	A6A862600	IDKS-40-200T3 L67-70L	8		1965	20250805		0000000000	000000
P100	ZP10	B10	10132876	0050	0015281658	製品検査	C0953	SN	A6A862600	IDKS-40-200T3 L67-70L	8	8	240	20250805		0000000000	000000
P100	ZP10	B10	10132876	1000	0015281663	出荷検査	C0960	SN	A6A862600	IDKS-40-200T3 L67-70L	8	1		20250805		0000000000	000000
P100	ZP10	B10	10132876	1030	0015281659	組立小型手直(自責)	CZ030	SNF	A6A862600	IDKS-40-200T3 L67-70L	8			20250805		0000000000	000000
P100	ZP10	B10	10132876	1040	0015281660	組立小型手直(他責)	CZ040	SNF	A6A862600	IDKS-40-200T3 L67-70L	8			20250805		0000000000	000000
P100	ZP10	B10	10132876	1050	0015281661	検査手直し(自責)	C0970	SNF	A6A862600	IDKS-40-200T3 L67-70L	8			20250805		0000000000	000000
P100	ZP10	B10	10132876	1060	0015281662	検査手直し(他責)	C0980	SNF	A6A862600	IDKS-40-200T3 L67-70L	8			20250805		0000000000	000000
P100	ZP10	CE0	10132955	0010	0015295709	ヒートシンク（加工）	A0510	MSN	EEA557400	FIN3	12	12	8	20250826		0000000000	000000
P100	ZP10	CE0	10132955	0015	0015614621	NEXUS  加工のみ	Y0010	SG	EEA557400	FIN3	12			20250826		0000000000	000000
P100	ZP10	CE0	10132955	0020	0015295710	ヒートシンク（MC）	A0520	SNF	EEA557400	FIN3	12	12		20250826		0000000000	000000
P100	ZP10	CE0	10132955	1000	0015295711	ヒートシンク（フライス盤）	A0521	SNF	EEA557400	FIN3	12	12		20250826		0000000000	000000
P100	ZP10	CE0	10132955	1010	0015295712	自部署手直し（ヒートシンク）	A0580	SNF	EEA557400	FIN3	12			20250826		0000000000	000000
P100	ZP10	CE0	10132955	1020	0015295713	他部署手直し（ヒートシンク）	A0585	SNF	EEA557400	FIN3	12			20250826		0000000000	000000
P100	ZP10	CE0	10132955	1030	0015295714	自部署手直し機械時間（ヒートシンク）MC	A0590	SNF	EEA557400	FIN3	12			20250826		0000000000	000000
P100	ZP10	CE0	10132955	1040	0015295715	自部署手直し機械時間（ヒートシンク）フラ	A0591	SNF	EEA557400	FIN3	12			20250826		0000000000	000000
P100	ZP10	CE0	10132955	1050	0015295716	他部署手直し機械時間（ヒートシンク）MC	A0595	SNF	EEA557400	FIN3	12			20250826		0000000000	000000
P100	ZP10	CE0	10132955	1060	0015295717	他部署手直し機械時間（ヒートシンク）フラ	A0596	SNF	EEA557400	FIN3	12			20250826		0000000000	000000
P100	ZP10	CE0	10132956	0010	0015295718	ヒートシンク（加工）	A0510	MSN	EEA557500	FIN ME9*120	12	12	8	20250826		0000000000	000000
P100	ZP10	CE0	10132956	0015	0015614623	NEXUS  加工のみ	Y0010	SG	EEA557500	FIN ME9*120	12			20250826		0000000000	000000
P100	ZP10	CE0	10132956	0020	0015295719	ヒートシンク（MC）	A0520	SNF	EEA557500	FIN ME9*120	12	12		20250826		0000000000	000000
P100	ZP10	CE0	10132956	1000	0015295720	ヒートシンク（フライス盤）	A0521	SNF	EEA557500	FIN ME9*120	12	12		20250826		0000000000	000000
P100	ZP10	CE0	10132956	1010	0015295721	自部署手直し（ヒートシンク）	A0580	SNF	EEA557500	FIN ME9*120	12			20250826		0000000000	000000
P100	ZP10	CE0	10132956	1020	0015295722	他部署手直し（ヒートシンク）	A0585	SNF	EEA557500	FIN ME9*120	12			20250826		0000000000	000000
P100	ZP10	CE0	10132956	1030	0015295723	自部署手直し機械時間（ヒートシンク）MC	A0590	SNF	EEA557500	FIN ME9*120	12			20250826		0000000000	000000
P100	ZP10	CE0	10132956	1040	0015295724	自部署手直し機械時間（ヒートシンク）フラ	A0591	SNF	EEA557500	FIN ME9*120	12			20250826		0000000000	000000
P100	ZP10	CE0	10132956	1050	0015295725	他部署手直し機械時間（ヒートシンク）MC	A0595	SNF	EEA557500	FIN ME9*120	12			20250826		0000000000	000000
P100	ZP10	CE0	10132956	1060	0015295726	他部署手直し機械時間（ヒートシンク）フラ	A0596	SNF	EEA557500	FIN ME9*120	12			20250826		0000000000	000000
P100	ZP10	B10	10132962	0010	0015295951	メイン部品払出	CW010	SN	A00A2006200	UG1-2050FT3 ｽﾗｲﾄﾞ金具付	1	1		20250805		0000000000	000000
P100	ZP10	B10	10132962	0020	0015295952	部品仕分け	C0931	SN	A00A2006200	UG1-2050FT3 ｽﾗｲﾄﾞ金具付	1	1		20250805		0000000000	000000
P100	ZP10	B10	10132962	0030	0015295953	外注加工	C0921	SN	A00A2006200	UG1-2050FT3 ｽﾗｲﾄﾞ金具付	1			20250805		0000000000	000000
P100	ZP10	B10	10132962	0040	0015295954	総合組立	C0921	MSN	A00A2006200	UG1-2050FT3 ｽﾗｲﾄﾞ金具付	1	1	110	20250805		0000000000	000000
P100	ZP10	B10	10132962	0050	0015295955	製品検査	C0953	SN	A00A2006200	UG1-2050FT3 ｽﾗｲﾄﾞ金具付	1	1	85	20250805		0000000000	000000
P100	ZP10	B10	10132962	1000	0015295956	出荷検査	C0960	SN	A00A2006200	UG1-2050FT3 ｽﾗｲﾄﾞ金具付	1	1	40	20250805		0000000000	000000
P100	ZP10	B10	10132962	1030	0015295957	組立小型手直(自責)	CZ030	SNF	A00A2006200	UG1-2050FT3 ｽﾗｲﾄﾞ金具付	1			20250805		0000000000	000000
P100	ZP10	B10	10132962	1040	0015295958	組立小型手直(他責)	CZ040	SNF	A00A2006200	UG1-2050FT3 ｽﾗｲﾄﾞ金具付	1			20250805		0000000000	000000
P100	ZP10	B10	10132962	1050	0015295959	検査手直し(自責)	C0970	SNF	A00A2006200	UG1-2050FT3 ｽﾗｲﾄﾞ金具付	1			20250805		0000000000	000000
P100	ZP10	B10	10132962	1060	0015295960	検査手直し(他責)	C0980	SNF	A00A2006200	UG1-2050FT3 ｽﾗｲﾄﾞ金具付	1			20250805		0000000000	000000
P100	ZP10	BL0	10133043	0010	0015356779	メイン部品払出	CW010	SN	U00A0328601	＆PV-DISPE S17 LEDﾀｲﾌﾟ	15	15		20250821		0000000000	000000
P100	ZP10	BL0	10133043	0020	0015356780	部品仕分け	C0931	SN	U00A0328601	＆PV-DISPE S17 LEDﾀｲﾌﾟ	15	15		20250821		0000000000	000000
P100	ZP10	BL0	10133043	0030	0015356781	総合組立	C0922	MSN	U00A0328601	＆PV-DISPE S17 LEDﾀｲﾌﾟ	15	15	20	20250821		0000000000	000000
P100	ZP10	BL0	10133043	0035	0015746357	外注加工	C0922	SG	U00A0328601	＆PV-DISPE S17 LEDﾀｲﾌﾟ	15	15		20250821		0000000000	000000
P100	ZP10	BL0	10133043	0040	0015356782	製品検査	C0953	SN	U00A0328601	＆PV-DISPE S17 LEDﾀｲﾌﾟ	15			20250821		0000000000	000000
P100	ZP10	BL0	10133043	1000	0015356783	出荷検査	C0960	SN	U00A0328601	＆PV-DISPE S17 LEDﾀｲﾌﾟ	15			20250821		0000000000	000000
P100	ZP10	BL0	10133043	1030	0015356784	組立小型手直(自責)	CZ030	SNF	U00A0328601	＆PV-DISPE S17 LEDﾀｲﾌﾟ	15			20250821		0000000000	000000
P100	ZP10	BL0	10133043	1040	0015356785	組立小型手直(他責)	CZ040	SNF	U00A0328601	＆PV-DISPE S17 LEDﾀｲﾌﾟ	15			20250821		0000000000	000000
P100	ZP10	BL0	10133043	1050	0015356786	検査手直し(自責)	C0970	SNF	U00A0328601	＆PV-DISPE S17 LEDﾀｲﾌﾟ	15			20250821		0000000000	000000
