連番1	連番2	連番3	所要区分	親指図番号	割当(WBS)	受注伝票	入出庫番号	入庫保管場所	親品目コード	親品目テキスト	原価センタテキスト	出荷伝票	出庫数量	親MRP管理者	親指図計画開始日	親指図計画終了日	BOM明細番号	子指図番号	子品目コード	子品目テキスト	所要日	所要残数	在庫数	在庫引当	所要引当残数	子MRP管理者	購買発注番号	子指図計画開始日	子指図計画終了日	計画数量	計画引当	計画引当残数	作業区４	作業区５	払出完了	進捗	工程(子)	C	A	C,A以外	作業0020時間(分)	作業0030時間(分)	作業0040時間(分)	作業0050時間(分)	作業0060時間(分)	検査	標準原価	指図テキスト
0000000021	0000000021	0000000001	製造指図出庫	40159831	G-0332766-30	332766-0030	7978216-0026		A00A2035900	KTA4W2-18.5-10KCT7+15°			2.000	C17	2025/09/25	2025/10/30	0250	50120203	26062001300	PC-20 20P ﾋﾗﾗｸﾞ ﾊﾝﾀﾞﾂｷ 20P . *	2025/09/25	2.000	11.000	0.000	2.000	PC1		2025/07/17	2025/08/07	80.000	2.000	59.000	A0801	A0802	○	○○○○○○○○		0	0	80	0.000	0.000	0.000	0.000	0.000		2,843.000000	
0000000022	0000000022	0000000001	製造指図出庫	40159832	G-0332766-40	332766-0040	7978217-0026		A00A2036000	KTA4W2-18.5-10KCT8-30°			1.000	C17	2025/10/06	2025/10/30	0250	50120203	26062001300	PC-20 20P ﾋﾗﾗｸﾞ ﾊﾝﾀﾞﾂｷ 20P . *	2025/10/06	1.000	11.000	0.000	1.000	PC1		2025/07/17	2025/08/07	80.000	1.000	58.000	A0801	A0802	○	○○○○○○○○		0	0	80	0.000	0.000	0.000	0.000	0.000		2,843.000000	
0000000023	0000000023	0000000001	製造指図出庫	40163726	I-0341530-10-01-04		8102216-0113		A00A2102001	AU15N-A7-11-11(本体)			1.000	C28	2025/10/09	2025/11/17	1120	50120203	26062001300	PC-20 20P ﾋﾗﾗｸﾞ ﾊﾝﾀﾞﾂｷ 20P . *	2025/10/09	1.000	11.000	0.000	1.000	PC1		2025/07/17	2025/08/07	80.000	1.000	57.000	A0801	A0802	○	○○○○○○○○		0	0	80	0.000	0.000	0.000	0.000	0.000		2,843.000000	
0000000024	0000000024	0000000001	製造指図出庫	40164513	I-0341530-10-01-07		8135134-0002		A00A2102004	AU15N-A7-11-11(遠方警報)			1.000	C29	2025/10/09	2025/11/17	0020	50120203	26062001300	PC-20 20P ﾋﾗﾗｸﾞ ﾊﾝﾀﾞﾂｷ 20P . *	2025/10/09	1.000	11.000	0.000	1.000	PC1		2025/07/17	2025/08/07	80.000	1.000	56.000	A0801	A0802	○	○○○○○○○○		0	0	80	0.000	0.000	0.000	0.000	0.000		2,843.000000	
0000000025	0000000025	0000000001	製造指図出庫	40164855	I-0338328-10-01-09		8153693-0002		U00A0408701	＆SVA-A650K-ETB2(外 ﾃﾞﾙﾀ)			1.000	C29	2025/10/20	2025/12/25	0020	50120203	26062001300	PC-20 20P ﾋﾗﾗｸﾞ ﾊﾝﾀﾞﾂｷ 20P . *	2025/10/20	1.000	11.000	0.000	1.000	PC1		2025/07/17	2025/08/07	80.000	1.000	55.000	A0801	A0802	○	○○○○○○○○		0	0	80	0.000	0.000	0.000	0.000	0.000		2,843.000000	
0000000026	0000000026	0000000001	製造指図出庫	10133629			8177552-0002	1210	U00A0418601	＆遠方警報盤/空自AU単機用			3.000	C29	2025/11/17	2025/12/05	0020	50120203	26062001300	PC-20 20P ﾋﾗﾗｸﾞ ﾊﾝﾀﾞﾂｷ 20P . *	2025/11/17	3.000	11.000	0.000	3.000	PC1		2025/07/17	2025/08/07	80.000	3.000	52.000	A0801	A0802	○	○○○○○○○○		0	0	80	0.000	0.000	0.000	0.000	0.000		2,843.000000	
0000000027	0000000027	0000000001	製造指図出庫	40163717	I-0341538-10-01-04		8102207-0112		A00A2102201	AU15N-A7-11-11(本体)			1.000	C28	2025/12/08	2026/02/09	1120	50120203	26062001300	PC-20 20P ﾋﾗﾗｸﾞ ﾊﾝﾀﾞﾂｷ 20P . *	2025/12/08	1.000	11.000	0.000	1.000	PC1		2025/07/17	2025/08/07	80.000	1.000	51.000	A0801	A0802	○	○○○○○○○○		0	0	80	0.000	0.000	0.000	0.000	0.000		2,843.000000	
0000000028	0000000028	0000000001	製造指図出庫	40163762	I-0341546-10-01-04		8102254-0112		A00A2102401	AU20N-A7-11-11(本体)			1.000	C28	2025/12/17	2026/02/20	1110	50120203	26062001300	PC-20 20P ﾋﾗﾗｸﾞ ﾊﾝﾀﾞﾂｷ 20P . *	2025/12/17	1.000	11.000	0.000	1.000	PC1		2025/07/17	2025/08/07	80.000	1.000	50.000	A0801	A0802	○	○○○○○○○○		0	0	80	0.000	0.000	0.000	0.000	0.000		2,843.000000	
0000000029	0000000001		製造指図出庫	40161282	G-0336374-20	336374-0020	8036836-0006		A00A2087800	SCA2F1-12/5-350/140VCPR			1.000	B50	2025/08/25	2025/10/14	0050		970105002	MK-500C T2 PZZA1050002	2025/08/25	6.000	1.000	1.000	5.000																						3,526.000000	
0000000030	0000000001	0000000001	製造指図出庫	40161282	G-0336374-20	336374-0020	8036836-0006		A00A2087800	SCA2F1-12/5-350/140VCPR			1.000	B50	2025/08/25	2025/10/14	0050	50119937	970105002	MK-500C T2 PZZA1050002	2025/08/25	6.000	1.000	1.000	5.000	PC1		2025/06/26	2025/08/21	8.000	5.000	3.000	A0801	A0802	○	○○○○○○○○		0	48	32	0.000	0.000	0.000	0.000	18.000		3,526.000000	
